redis_key,property_on_sale_id,reservations
property_on_sale_id:67acbdb1ef14e7015bcdda15:reservations_seller,67acbdb1ef14e7015bcdda15,"[{""buyer_id"": ""67af02b84526b90537d33e30"", ""full_name"": ""Debra Powell"", ""email"": ""debrapowell@buyer.com"", ""phone"": ""+1-710-542-0712x6787""}, {""buyer_id"": ""67af02b94526b90537d33f8d"", ""full_name"": ""Kimberly Rodriguez"", ""email"": ""kimberlyrodriguez@buyer.com"", ""phone"": ""(956)495-5417x4967""}, {""buyer_id"": ""67af02b94526b90537d340c1"", ""full_name"": ""Jessica Perez"", ""email"": ""jessicaperez@buyer.com"", ""phone"": ""001-375-894-9018x4835""}, {""buyer_id"": ""67af02c14526b90537d35246"", ""full_name"": ""Peter Roberts"", ""email"": ""peterroberts@buyer.com"", ""phone"": ""+1-685-304-6072""}]"
property_on_sale_id:67acbda4ef14e7015bcdc3ec:reservations_seller,67acbda4ef14e7015bcdc3ec,"[{""buyer_id"": ""67af02b84526b90537d33e31"", ""full_name"": ""Anne Glover"", ""email"": ""anneglover@buyer.com"", ""phone"": ""(295)374-0242x53418""}, {""buyer_id"": ""67af02be4526b90537d34b20"", ""full_name"": ""James Dunn"", ""email"": ""jamesdunn@buyer.com"", ""phone"": ""001-972-810-1620x687""}, {""buyer_id"": ""67af02be4526b90537d34b66"", ""full_name"": ""Aaron Miller"", ""email"": ""aaronmiller@buyer.com"", ""phone"": ""(577)701-0174x372""}]"
property_on_sale_id:67acbda5ef14e7015bcdc626:reservations_seller,67acbda5ef14e7015bcdc626,"[{""buyer_id"": ""67af02b84526b90537d33e31"", ""full_name"": ""Anne Glover"", ""email"": ""anneglover@buyer.com"", ""phone"": ""(295)374-0242x53418""}, {""buyer_id"": ""67af02ba4526b90537d34301"", ""full_name"": ""Angela Anderson"", ""email"": ""angelaanderson@buyer.com"", ""phone"": ""826.647.9406""}]"
property_on_sale_id:67acbda7ef14e7015bcdcc2e:reservations_seller,67acbda7ef14e7015bcdcc2e,"[{""buyer_id"": ""67af02b84526b90537d33e32"", ""full_name"": ""James Lopez"", ""email"": ""jameslopez@buyer.com"", ""phone"": ""298-896-5349""}, {""buyer_id"": ""67af02bc4526b90537d34661"", ""full_name"": ""Ryan Jackson"", ""email"": ""ryanjackson@buyer.com"", ""phone"": ""327.343.9373x37088""}, {""buyer_id"": ""67af02c64526b90537d35cda"", ""full_name"": ""Pamela Ramos"", ""email"": ""pamelaramos@buyer.com"", ""phone"": ""001-636-252-7689x9248""}]"
property_on_sale_id:67acbd9aef14e7015bcdb762:reservations_seller,67acbd9aef14e7015bcdb762,"[{""buyer_id"": ""67af02b84526b90537d33e33"", ""full_name"": ""Elizabeth Williamson"", ""email"": ""elizabethwilliamson@buyer.com"", ""phone"": ""001-627-909-7618x7672""}, {""buyer_id"": ""67af02b94526b90537d34143"", ""full_name"": ""Susan Clark"", ""email"": ""susanclark@buyer.com"", ""phone"": ""794-304-6502x0079""}, {""buyer_id"": ""67af02c04526b90537d34ec5"", ""full_name"": ""Robert Ayala"", ""email"": ""robertayala@buyer.com"", ""phone"": ""7337397924""}]"
property_on_sale_id:67acbd9aef14e7015bcdb6ea:reservations_seller,67acbd9aef14e7015bcdb6ea,"[{""buyer_id"": ""67af02b84526b90537d33e33"", ""full_name"": ""Elizabeth Williamson"", ""email"": ""elizabethwilliamson@buyer.com"", ""phone"": ""001-627-909-7618x7672""}, {""buyer_id"": ""67af02c94526b90537d36481"", ""full_name"": ""Bruce Banks"", ""email"": ""brucebanks@buyer.com"", ""phone"": ""919-601-5142x931""}]"
property_on_sale_id:67acbd99ef14e7015bcdb56c:reservations_seller,67acbd99ef14e7015bcdb56c,"[{""buyer_id"": ""67af02b84526b90537d33e33"", ""full_name"": ""Elizabeth Williamson"", ""email"": ""elizabethwilliamson@buyer.com"", ""phone"": ""001-627-909-7618x7672""}, {""buyer_id"": ""67af02c24526b90537d3541b"", ""full_name"": ""Amy Adams"", ""email"": ""amyadams@buyer.com"", ""phone"": ""549.388.6732x7780""}]"
property_on_sale_id:67acbd94ef14e7015bcdb093:reservations_seller,67acbd94ef14e7015bcdb093,"[{""buyer_id"": ""67af02b84526b90537d33e34"", ""full_name"": ""Jason Clements"", ""email"": ""jasonclements@buyer.com"", ""phone"": ""001-576-433-5400x888""}, {""buyer_id"": ""67af02c04526b90537d34f6d"", ""full_name"": ""Keith Ross"", ""email"": ""keithross@buyer.com"", ""phone"": ""(917)313-4136""}, {""buyer_id"": ""67af02c94526b90537d364aa"", ""full_name"": ""Sarah Powell"", ""email"": ""sarahpowell@buyer.com"", ""phone"": ""768.523.0992""}]"
property_on_sale_id:67acbdb9ef14e7015bcde6d7:reservations_seller,67acbdb9ef14e7015bcde6d7,"[{""buyer_id"": ""67af02b84526b90537d33e35"", ""full_name"": ""Nathaniel Cohen"", ""email"": ""nathanielcohen@buyer.com"", ""phone"": ""883-597-7733x840""}, {""buyer_id"": ""67af02b94526b90537d3405d"", ""full_name"": ""Christopher Mcdaniel"", ""email"": ""christophermcdaniel@buyer.com"", ""phone"": ""(385)686-5275x209""}, {""buyer_id"": ""67af02c14526b90537d35181"", ""full_name"": ""Larry Price"", ""email"": ""larryprice@buyer.com"", ""phone"": ""+1-642-539-9933x371""}, {""buyer_id"": ""67af02c24526b90537d35315"", ""full_name"": ""Timothy Martinez"", ""email"": ""timothymartinez@buyer.com"", ""phone"": ""5918462538""}]"
property_on_sale_id:67acbdb7ef14e7015bcde354:reservations_seller,67acbdb7ef14e7015bcde354,"[{""buyer_id"": ""67af02b84526b90537d33e35"", ""full_name"": ""Nathaniel Cohen"", ""email"": ""nathanielcohen@buyer.com"", ""phone"": ""883-597-7733x840""}]"
property_on_sale_id:67acbdb8ef14e7015bcde51f:reservations_seller,67acbdb8ef14e7015bcde51f,"[{""buyer_id"": ""67af02b84526b90537d33e35"", ""full_name"": ""Nathaniel Cohen"", ""email"": ""nathanielcohen@buyer.com"", ""phone"": ""883-597-7733x840""}]"
property_on_sale_id:67acbdb6ef14e7015bcde265:reservations_seller,67acbdb6ef14e7015bcde265,"[{""buyer_id"": ""67af02b84526b90537d33e36"", ""full_name"": ""Amanda Lindsey"", ""email"": ""amandalindsey@buyer.com"", ""phone"": ""001-297-210-0319x3112""}, {""buyer_id"": ""67af02c74526b90537d360c1"", ""full_name"": ""Elizabeth Skinner"", ""email"": ""elizabethskinner@buyer.com"", ""phone"": ""950.797.4816x90896""}]"
property_on_sale_id:67acbd99ef14e7015bcdb465:reservations_seller,67acbd99ef14e7015bcdb465,"[{""buyer_id"": ""67af02b84526b90537d33e37"", ""full_name"": ""David Gordon"", ""email"": ""davidgordon@buyer.com"", ""phone"": ""7366195721""}, {""buyer_id"": ""67af02bd4526b90537d3493d"", ""full_name"": ""Kenneth Greene"", ""email"": ""kennethgreene@buyer.com"", ""phone"": ""336-277-2787x00565""}, {""buyer_id"": ""67af02c84526b90537d361b1"", ""full_name"": ""Fernando Anderson"", ""email"": ""fernandoanderson@buyer.com"", ""phone"": ""+1-691-207-1086""}]"
property_on_sale_id:67acbd9eef14e7015bcdbdf5:reservations_seller,67acbd9eef14e7015bcdbdf5,"[{""buyer_id"": ""67af02b84526b90537d33e38"", ""full_name"": ""Danielle Rodriguez"", ""email"": ""daniellerodriguez@buyer.com"", ""phone"": ""5414928852""}, {""buyer_id"": ""67af02bb4526b90537d343f7"", ""full_name"": ""Brandon York"", ""email"": ""brandonyork@buyer.com"", ""phone"": ""(935)802-6159""}, {""buyer_id"": ""67af02bd4526b90537d34939"", ""full_name"": ""Joshua Kelly"", ""email"": ""joshuakelly@buyer.com"", ""phone"": ""906-760-8448x92038""}]"
property_on_sale_id:67acbd9def14e7015bcdbb5b:reservations_seller,67acbd9def14e7015bcdbb5b,"[{""buyer_id"": ""67af02b84526b90537d33e38"", ""full_name"": ""Danielle Rodriguez"", ""email"": ""daniellerodriguez@buyer.com"", ""phone"": ""5414928852""}, {""buyer_id"": ""67af02b94526b90537d33f91"", ""full_name"": ""Paul Jones"", ""email"": ""pauljones@buyer.com"", ""phone"": ""001-775-261-6624""}, {""buyer_id"": ""67af02ba4526b90537d3439d"", ""full_name"": ""Kevin Williams"", ""email"": ""kevinwilliams@buyer.com"", ""phone"": ""001-431-339-8349x909""}]"
property_on_sale_id:67acbdb1ef14e7015bcdda0d:reservations_seller,67acbdb1ef14e7015bcdda0d,"[{""buyer_id"": ""67af02b84526b90537d33e39"", ""full_name"": ""Mary Weber"", ""email"": ""maryweber@buyer.com"", ""phone"": ""905.910.4250x6764""}]"
property_on_sale_id:67acbdb0ef14e7015bcdd8d2:reservations_seller,67acbdb0ef14e7015bcdd8d2,"[{""buyer_id"": ""67af02b84526b90537d33e39"", ""full_name"": ""Mary Weber"", ""email"": ""maryweber@buyer.com"", ""phone"": ""905.910.4250x6764""}, {""buyer_id"": ""67af02bd4526b90537d34895"", ""full_name"": ""John Williams"", ""email"": ""johnwilliams@buyer.com"", ""phone"": ""+1-587-818-4302x264""}]"
property_on_sale_id:67acbdb1ef14e7015bcdd9bb:reservations_seller,67acbdb1ef14e7015bcdd9bb,"[{""buyer_id"": ""67af02b84526b90537d33e39"", ""full_name"": ""Mary Weber"", ""email"": ""maryweber@buyer.com"", ""phone"": ""905.910.4250x6764""}, {""buyer_id"": ""67af02bd4526b90537d34927"", ""full_name"": ""Anna Blevins"", ""email"": ""annablevins@buyer.com"", ""phone"": ""001-969-404-9253""}, {""buyer_id"": ""67af02c74526b90537d360b2"", ""full_name"": ""Lisa Erickson"", ""email"": ""lisaerickson@buyer.com"", ""phone"": ""+1-840-323-0671x06880""}]"
property_on_sale_id:67acbdc3ef14e7015bcdf505:reservations_seller,67acbdc3ef14e7015bcdf505,"[{""buyer_id"": ""67af02b84526b90537d33e3a"", ""full_name"": ""Jeffrey Mcdowell"", ""email"": ""jeffreymcdowell@buyer.com"", ""phone"": ""891.405.5778""}, {""buyer_id"": ""67af02bf4526b90537d34ded"", ""full_name"": ""John Arias"", ""email"": ""johnarias@buyer.com"", ""phone"": ""001-894-856-0455x659""}]"
property_on_sale_id:67acbdc4ef14e7015bcdf64e:reservations_seller,67acbdc4ef14e7015bcdf64e,"[{""buyer_id"": ""67af02b84526b90537d33e3a"", ""full_name"": ""Jeffrey Mcdowell"", ""email"": ""jeffreymcdowell@buyer.com"", ""phone"": ""891.405.5778""}, {""buyer_id"": ""67af02b94526b90537d33f6f"", ""full_name"": ""Anthony Nielsen"", ""email"": ""anthonynielsen@buyer.com"", ""phone"": ""+1-656-453-0234x556""}, {""buyer_id"": ""67af02bc4526b90537d34655"", ""full_name"": ""Kyle Matthews"", ""email"": ""kylematthews@buyer.com"", ""phone"": ""(379)352-1902""}, {""buyer_id"": ""67af02c14526b90537d3529e"", ""full_name"": ""Charles Flynn"", ""email"": ""charlesflynn@buyer.com"", ""phone"": ""+1-826-948-7298x061""}]"
